"  "	8
"2002  Oct"	1
"2003  Apr"	3
"2003  Aug"	1
"2003  Dec"	1
"2003  Mar"	2
"2003  May"	1
"2003  Nov"	3
"2003  Sep"	2
"2004  Apr"	12
"2004  Aug"	7
"2004  Dec"	17
"2004  Feb"	1
"2004  Jan"	2
"2004  Jul"	4
"2004  Mar"	2
"2004  May"	5
"2004  Nov"	6
"2004  Oct"	11
"2004  Sep"	10
"2005  Apr"	20
"2005  Aug"	27
"2005  Dec"	51
"2005  Feb"	17
"2005  Jan"	21
"2005  Jul"	28
"2005  Jun"	22
"2005  Mar"	19
"2005  May"	18
"2005  Nov"	25
"2005  Oct"	30
"2005  Sep"	24
"2006  Apr"	40
"2006  Aug"	39
"2006  Dec"	27
"2006  Feb"	55
"2006  Jan"	39
"2006  Jul"	28
"2006  Jun"	45
"2006  Mar"	59
"2006  May"	41
"2006  Nov"	27
"2006  Oct"	19
"2006  Sep"	19
"2007  Apr"	19
"2007  Aug"	10
"2007  Dec"	2
"2007  Feb"	19
"2007  Jan"	21
"2007  Jul"	14
"2007  Jun"	18
"2007  Mar"	9
"2007  May"	23
"2007  Oct"	3
"2007  Sep"	9
"2008  Feb"	1
"2008  Jan"	1
"2009  Jun"	1
"2009  May"	1
"2009  Nov"	1
"2009  Oct"	1
"registered  registered"	1
